timestamp,num1,operator,num2,timetaken,got_wrong,ranked,game_time,key_strokes, wrong_ans
1696918058.284369,46,+,58,2.634,False,False,120,"1.874,1.964,2.634",
1696918060.839781,198,/,3,2.555,False,False,120,"1.937,2.555",
1696918065.6354702,75,+,37,4.796,True,False,120,"1.164,1.378,1.513,-2.055,-2.184,3.885,4.081,-4.386,-4.537,4.634,4.795","132,102"
1696918066.605792,27,-,7,0.97,False,False,120,"0.893,0.97",
1696918068.592821,108,/,2,1.987,False,False,120,"1.492,1.699,-1.93,1.987",
1696918069.6722162,40,+,17,1.079,False,False,120,"1.019,1.079",
1696918072.2553952,3,*,89,2.583,False,False,120,"1.804,2.439,2.583",
1696918073.708357,3,*,53,1.453,False,False,120,"1.022,1.355,1.453",
1696918075.38495,47,-,38,1.677,False,False,120,1.676,
1696918077.1800818,297,/,9,1.795,False,False,120,"1.186,1.795",
1696918086.239905,12,*,68,9.06,True,False,120,"3.478,3.78,4.068,-4.422,-4.557,-4.701,-4.841,-4.972,8.166,8.727,9.06",806
1696918087.6926699,49,-,23,1.453,False,False,120,"1.196,1.453",
1696918088.618189,2,*,12,0.925,False,False,120,"0.749,0.925",
1696918091.658221,195,/,5,3.04,False,False,120,"2.182,3.04",
1696918092.944663,8,*,80,1.286,False,False,120,"1.068,1.204,1.286",
1696918095.292417,752,/,8,2.348,False,False,120,"1.722,2.347",
1696918100.865621,7,*,86,5.573,False,False,120,"2.284,-5.062,-5.204,5.361,5.454,5.573",
1696918103.5532959,22,-,9,2.688,False,False,120,"1.183,2.687",
1696918105.2120461,385,/,7,1.659,False,False,120,"1.484,1.658",
1696918109.016063,264,/,8,3.804,False,False,120,"2.083,-2.514,-2.653,2.775,3.804",
1696918113.193117,50,-,95,4.177,False,False,120,"2.609,2.771,-3.101,-3.265,-3.395,3.712,4.025,4.177",
1696918116.341397,7,*,92,3.148,False,False,120,"1.364,3.034,3.148",
1696918117.4289129,160,/,10,1.087,False,False,120,"0.829,1.087",
1696918118.498803,89,-,70,1.07,False,False,120,"0.918,1.07",
1696918134.064595,44,-,83,15.566,False,False,120,"5.325,-6.218,-6.36,-6.504,10.8,-11.528,11.687,11.811,-12.144,-12.295,-12.469,-12.627,15.229,15.382,15.566",
1696918136.354514,48,-,24,2.29,True,False,120,"1.202,1.963,-2.228,2.29",23
1696918138.753612,12,*,54,2.399,False,False,120,"1.604,2.303,2.399",
1696918139.885992,2,+,90,1.132,False,False,120,"0.92,1.132",
1696918142.885143,11,*,75,2.999,True,False,120,"1.343,1.701,2.059,-2.458,2.642,-2.944,2.999","827,824"
1696918147.979017,22,-,34,5.094,False,False,120,"2.264,3.506,5.094",
1696918149.309758,4,*,33,1.331,False,False,120,"0.865,1.118,1.331",
1696918151.4490108,52,-,15,2.139,False,False,120,"1.803,2.139",
1696918154.1249201,165,/,5,2.676,False,False,120,"0.983,1.429,-1.725,2.676",
1696918158.1104,900,/,12,3.985,False,False,120,"2.769,3.985",
1696918159.150233,60,+,3,1.04,False,False,120,"0.976,1.04",
1696918160.442142,17,-,16,1.292,False,False,120,1.292,
1696918165.184143,36,+,98,4.742,False,False,120,"-0.249,0.427,0.498,-1.039,-1.201,-1.373,-1.521,3.027,4.385,4.742",
1696918166.3980548,5,+,50,1.214,False,False,120,"1.075,1.214",
1696918167.97992,50,-,90,1.582,False,False,120,"1.276,1.51,1.582",
1696918170.099884,8,*,53,2.12,False,False,120,"1.336,1.977,2.12",
1696918172.670423,434,/,7,2.57,False,False,120,"1.64,2.57",
1696918174.553859,4,*,57,1.883,False,False,120,"1.133,1.697,1.883",
1696918193.15304,54,+,3,1.082,False,False,120,"1.027,1.082",
1696918194.9421818,80,/,10,1.789,False,False,120,"1.022,1.094,-1.382,-1.512,1.789",
1696918197.404417,11,-,42,2.462,False,False,120,"1.556,2.111,2.462",
1696918199.818719,74,+,93,2.414,True,False,120,"0.954,1.52,1.588,-1.88,-2.013,2.349,2.414",157
1696918201.7961102,89,+,68,1.977,False,False,120,"1.359,1.855,1.977",
1696918203.292207,65,+,40,1.496,False,False,120,"0.934,1.013,1.496",
1696918205.059639,348,/,6,1.767,False,False,120,"1.405,1.767",
1696918206.880286,76,+,35,1.821,False,False,120,"1.507,1.668,1.82",
1696918244.618227,54,+,75,1.344,False,False,120,"1.109,1.236,1.344",
1696918246.739815,96,+,79,2.121,False,False,120,"1.644,1.955,2.121",
1696918248.6700318,78,-,67,1.93,False,False,120,"1.77,1.93",
1696918255.590312,35,-,94,6.92,False,False,120,"2.212,2.655,-3.005,3.717,-4.016,-4.172,-4.315,5.044,6.625,6.92",
1696918257.72993,29,+,97,2.14,False,False,120,"1.202,1.824,2.139",
1696918260.1153338,4,*,49,2.385,False,False,120,"1.664,2.069,2.385",
1696918264.182496,5,-,91,4.067,False,False,120,"2.336,3.543,4.067",
1696918265.526784,8,*,21,1.344,False,False,120,"0.959,1.216,1.344",
1696918266.3622038,6,*,2,0.835,False,False,120,"0.748,0.835",
1696918267.769087,28,+,82,1.407,False,False,120,"0.88,1.3,1.407",
1696918272.5530171,144,/,2,4.784,False,False,120,"4.424,4.784",
1696918273.899604,11,*,81,1.346,False,False,120,"1.084,1.239,1.346",
1696918274.803835,5,*,11,0.904,False,False,120,"0.807,0.904",
1696918276.017292,90,+,46,1.213,False,False,120,"0.896,1.076,1.213",
1696918279.384762,7,*,32,3.367,True,False,120,"0.986,1.297,1.783,-2.366,-2.515,3.097,3.367",214
1696918282.355356,380,/,4,2.971,False,False,120,"2.644,2.97",
1696918285.630788,17,-,98,3.275,False,False,120,"1.536,3.089,3.275",
1696918287.099371,15,+,63,1.468,False,False,120,"1.247,1.468",
1696918288.6088939,54,-,28,1.509,False,False,120,"1.268,1.509",
1696918289.301939,14,/,7,0.693,False,False,120,0.693,
1696918290.391886,648,/,8,1.09,False,False,120,"0.989,1.09",
1696918291.30248,70,/,10,0.911,False,False,120,0.91,
1696918292.6161559,39,-,39,1.314,False,False,120,1.313,
1696918296.718833,57,/,3,4.103,False,False,120,"3.335,4.102",
1696918300.823671,39,-,93,4.105,False,False,120,"1.559,3.265,4.105",
1696918302.254165,25,+,21,1.43,False,False,120,"1.092,1.43",
1696918307.7165241,39,+,29,5.462,True,False,120,"1.809,2.491,-2.974,-3.117,-3.264,-3.399,4.832,5.462",65
1696918308.8248792,198,/,11,1.108,False,False,120,"0.968,1.108",
1696918310.1889799,25,+,94,1.364,False,False,120,"1.086,1.235,1.364",
1696918312.283294,24,-,32,2.094,False,False,120,"0.98,-1.386,-1.521,1.789,2.094",
1696918313.568833,67,+,12,1.285,False,False,120,"1.093,1.285",
1696918318.509598,62,/,2,4.941,False,False,120,"1.071,1.21,-1.606,-1.747,-1.891,-2.049,2.258,2.538,-2.919,-3.065,-3.21,3.457,-4.108,-4.261,4.739,4.941",
1696918320.280876,558,/,9,1.771,False,False,120,"1.419,1.771",
1696918322.378808,79,-,63,2.098,False,False,120,"1.705,2.098",
1696918325.731758,126,/,9,3.353,False,False,120,"2.17,2.889,-3.248,3.353",
1696918326.6797109,2,+,11,0.948,False,False,120,"0.78,0.948",
1696918329.450214,75,+,38,2.77,True,False,120,"1.026,1.188,1.885,-2.282,2.77",112
1696918330.359937,10,*,19,0.91,False,False,120,"0.712,0.823,0.909",
1696918345.499876,388,/,4,15.14,False,False,120,"2.041,3.315,-3.589,5.48,-5.849,-6.348,7.623,10.476,-10.834,-11.002,-11.148,12.617,-13.006,13.502,15.14",
1696918348.9371169,35,-,63,3.437,False,False,120,"1.905,3.318,3.437",
1696918355.021589,7,*,99,6.084,True,False,120,"1.246,-2.406,-2.546,2.822,2.904,3.274,-3.578,4.108,-4.41,-4.585,-4.742,-4.897,5.739,5.847,6.084","703,706"
1696918355.96971,200,/,2,0.948,False,False,120,"0.758,0.826,0.948",
1696918359.391114,42,+,34,3.421,True,False,120,"1.205,1.277,-1.752,-1.9,-2.043,-2.17,3.319,3.421",56
1696918360.467703,50,+,36,1.076,False,False,120,"0.941,1.076",
1696918369.40567,37,+,72,2.536,False,False,120,"1.735,1.903,-2.179,2.368,2.536",
1696918370.8126621,11,*,40,1.407,False,False,120,"1.234,1.342,1.407",
1696918376.412541,18,+,68,5.6,True,False,120,"1.201,1.289,1.477,-1.737,-1.879,1.924,2.05,-2.414,-2.57,-2.719,-2.873,5.343,5.599","10,104,11,114"
1696918377.384075,8,*,20,0.971,False,False,120,"0.716,0.904,0.971",
1696918379.1839502,75,-,43,1.8,False,False,120,"1.461,1.8",
1696918380.6904058,10,*,47,1.506,False,False,120,"0.89,-1.163,1.25,1.433,1.506",
1696918382.330239,6,*,81,1.64,False,False,120,"1.184,1.365,1.64",
1696918386.180224,3,*,59,3.85,True,False,120,"0.954,2.625,2.899,-3.242,-3.379,3.732,3.85",167
1696918388.20712,252,/,6,2.027,False,False,120,"1.471,2.027",
1696918390.4355588,14,+,71,2.228,True,False,120,"1.159,1.295,-1.601,-1.76,-1.882,2.111,2.228",55
1696918391.5215511,630,/,9,1.086,False,False,120,"1.022,1.086",
1696918393.346478,4,*,67,1.825,False,False,120,"1.057,1.643,1.825",
1696918401.611786,308,/,4,8.265,False,False,120,"2.729,-3.267,3.65,7.054,-7.35,8.265",
1696918404.5298939,32,-,59,2.918,False,False,120,"1.729,2.758,2.918",
1696918406.626985,99,-,68,2.097,False,False,120,"1.943,2.097",
1696918409.228161,174,/,2,2.601,False,False,120,"1.906,2.601",
1696918410.630028,62,-,63,1.402,False,False,120,"1.254,1.402",
1696918412.450114,58,-,15,1.82,True,False,120,"1.367,1.528,-1.779,1.82",42
1696918415.6193762,9,*,73,3.169,False,False,120,"1.572,3.067,3.168",
1696918418.655921,135,/,3,3.036,False,False,120,"2.515,3.036",
1696918427.859647,17,-,75,9.204,True,False,120,"1.256,1.757,-6.063,6.785,7.164,-7.583,9.203",-57
1696918429.15619,79,-,4,1.296,False,False,120,"1.1,1.296",
1696918432.609393,8,*,89,3.453,False,False,120,"1.133,-2.278,-2.425,3.115,3.27,3.453",
1696918434.009921,10,-,63,1.4,False,False,120,"1.052,1.233,1.4",
1696918435.162909,186,/,2,1.153,False,False,120,"0.937,1.153",
1696918436.11715,27,/,3,0.954,False,False,120,0.954,
1696918437.151985,11,*,11,1.035,False,False,120,"0.729,0.9,1.035",
1696918445.00495,79,-,84,7.853,True,False,120,"1.254,1.516,-2.093,-2.245,-2.383,2.899,4.6,5.184,-5.48,-5.658,7.853","15,-1,-15"
1696918447.1004212,174,/,2,2.095,False,False,120,"1.742,2.095",
1696918450.9481301,78,/,3,3.848,False,False,120,"2.358,2.64,-2.959,3.847",
1696918454.423658,39,-,65,3.475,False,False,120,"1.233,1.946,-2.89,3.186,3.475",
1696918459.08413,688,/,8,4.66,False,False,120,"1.472,2.516,-2.889,4.66",
1696918460.379819,8,*,55,1.296,False,False,120,"1.118,1.227,1.295",
1696918461.744076,65,+,37,1.364,False,False,120,"1.159,1.252,1.364",
1696918463.3982668,520,/,10,1.654,False,False,120,"1.514,1.654",
1696918466.355954,459,/,9,2.958,False,False,120,"2.165,2.957",
1696918467.798184,56,+,77,1.442,False,False,120,"0.936,1.234,1.442",
1696918469.9085429,53,+,67,2.11,False,False,120,"1.592,1.943,2.11",
1696918472.23878,7,*,91,2.33,True,False,120,"1.266,1.51,1.742,-2.057,2.33",639
1696918473.509642,30,+,94,1.271,False,False,120,"0.83,0.985,1.271",
1696918476.849121,9,*,25,3.339,False,False,120,"1.332,-2.333,2.661,2.924,3.339",
1696918480.034921,65,-,8,3.186,False,False,120,"2.048,3.185",
1696918480.881526,33,/,11,0.847,False,False,120,0.846,
1696918484.9272032,11,*,84,4.046,True,False,120,"1.149,1.766,2.537,-2.926,-3.087,3.905,4.045",904
